director_and_actors,img,link,other_title,quote,rank,rating,reviewers,title
导演: 威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn / 格...,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg,https://movie.douban.com/subject/1293839/, / 金枝玉叶(港)  /  罗马假期(台),爱情哪怕只有一天。,51,9.1,939561人评价,罗马假日
导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 菲利普·努瓦雷 Philipp...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2653054340.jpg,https://movie.douban.com/subject/1291828/, / 星光伴我心(港)  /  新天堂乐园(台),那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,52,9.2,672880人评价,天堂电影院
导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575465690.jpg,https://movie.douban.com/subject/1291548/, / 暴雨骄阳(港)  /  春风化雨(台),当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,53,9.2,713868人评价,死亡诗社
导演: 彼得·法雷里 Peter Farrelly   主演: 维果·莫腾森 Viggo Mortensen /...,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2531065411.jpg,https://movie.douban.com/subject/27060077/, / 绿簿旅友(港)  /  幸福绿皮书(台),去除成见，需要勇气。,54,8.9,1625842人评价,绿皮书
导演: 万籁鸣 Laiming Wan   主演: 邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg,https://movie.douban.com/subject/1418019/, / 大闹天宫 上下集  /  The Monkey King,经典之作，历久弥新。,55,9.4,430663人评价,大闹天宫
导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2197698335.jpg,https://movie.douban.com/subject/1291571/, / 指环王1：魔戒再现  /  指环王I：护戒使者,传说的开始。,56,9.1,835752人评价,指环王1：护戒使者
导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg,https://movie.douban.com/subject/1291843/, / 22世纪杀人网络(港)  /  廿二世纪杀人网络(港),视觉革命。,57,9.1,827950人评价,黑客帝国
导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg,https://movie.douban.com/subject/1299131/, / 教父续集(港)  /  教父II,优雅的孤独。,58,9.3,544563人评价,教父2
导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p726659067.jpg,https://movie.douban.com/subject/1301753/, / 狮子王3D,动物版《哈姆雷特》。,59,9.1,827800人评价,狮子王
导演: 杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song / 金英爱 Yeong-ae...,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg,https://movie.douban.com/subject/21937445/, / 逆权大状(港)  /  正义辩护人(台),电影的现实意义大过电影本身。,60,9.2,583074人评价,辩护人
导演: 李安 Ang Lee   主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg,https://movie.douban.com/subject/1291818/, / Eat Drink Man Woman,人生不能像做菜，把所有的料都准备好了才下锅。,61,9.2,612838人评价,饮食男女
导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉...,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910931622.jpg,https://movie.douban.com/subject/1292000/, / 搏击会(港)  /  斗阵俱乐部(台),邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,62,9.0,836258人评价,搏击俱乐部
导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 艾德·哈...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg,https://movie.douban.com/subject/1306029/, / 有你终生美丽(港)  /  美丽境界(台),爱是一切逻辑和原由。,63,9.1,760408人评价,美丽心灵
导演: 大卫·芬奇 David Fincher   主演: 凯特·布兰切特 Cate Blanchett / ...,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg,https://movie.douban.com/subject/1485260/, / 奇幻逆缘(港)  /  班杰明的奇幻旅程(台),在时间之河里感受溺水之苦。,64,9.0,970695人评价,本杰明·巴顿奇事
导演: 马克·赫尔曼 Mark Herman   主演: 阿萨·巴特菲尔德 Asa Butterfield ...,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg,https://movie.douban.com/subject/3008247/, / 穿条纹衣服的男孩  /  穿条纹衣的男孩,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,65,9.2,556052人评价,穿条纹睡衣的男孩
导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg,https://movie.douban.com/subject/1900841/, / 窃听者(港)  /  他人的生活,别样人生。,66,9.2,558077人评价,窃听风暴
导演: 岩井俊二 Shunji Iwai   主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2648230660.jpg,https://movie.douban.com/subject/1292220/, / When I Close My Eyes  /  Letters of Love,暗恋的极致。,67,8.9,1097635人评价,情书
导演: Guy Ritchie   主演: Jason Flemyng / Dexter Fletcher / Nick Moran,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg,https://movie.douban.com/subject/1293350/, / 够姜四小强(港)  /  两根枪管(台),4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,68,9.1,588790人评价,两杆大烟枪
导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 莫妮卡·贝鲁奇 Monica ...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2441988159.jpg,https://movie.douban.com/subject/1292402/, / 真爱伴我行(台)  /  玛莲娜,美丽无罪。,69,8.9,964211人评价,西西里的美丽传说
导演: 罗伯特·怀斯 Robert Wise   主演: 朱莉·安德鲁斯 Julie Andrews / 克...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg,https://movie.douban.com/subject/1294408/, / 仙乐飘飘处处闻(港)  /  真善美(台),用音乐化解仇恨，让歌声串起美好。,70,9.1,593990人评价,音乐之声
导演: 奥里奥尔·保罗 Oriol Paulo   主演: 马里奥·卡萨斯 Mario Casas / 阿...,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg,https://movie.douban.com/subject/26580232/, / 死无对证(港)  /  布局(台),你以为你以为的就是你以为的。,71,8.8,1240750人评价,看不见的客人
导演: 詹姆斯·卡梅隆 James Cameron   主演: 萨姆·沃辛顿 Sam Worthington ...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2180085848.jpg,https://movie.douban.com/subject/1652587/, / ,绝对意义上的美轮美奂。,72,8.8,1405418人评价,阿凡达
导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg,https://movie.douban.com/subject/1292849/, / 雷霆救兵(港)  /  抢救雷恩大兵(台),美利坚精神输出大片No1.,73,9.1,639083人评价,拯救大兵瑞恩
导演: 马基德·马基迪 Majid Majidi   主演: 默罕默德·阿米尔·纳吉 Mohamma...,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.jpg,https://movie.douban.com/subject/1303021/, / 天堂的孩子  /  小童鞋,奔跑的孩子是天使。,74,9.2,406178人评价,小鞋子
导演: 米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichols...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg,https://movie.douban.com/subject/1292224/, / 飞越杜鹃窝(台)  /  飞越喜鹊巢,自由万岁。,75,9.1,540335人评价,飞越疯人院
导演: 大卫·叶茨 David Yates   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p917846733.jpg,https://movie.douban.com/subject/3011235/, / 哈利波特7：死神的圣物2(港 / 台) ,10年的完美句点。,76,9.0,818671人评价,哈利·波特与死亡圣器(下)
导演: 乔纳森·戴米 Jonathan Demme   主演: 朱迪·福斯特 Jodie Foster / 安...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg,https://movie.douban.com/subject/1293544/, / 沉默的羔羊,安东尼·霍普金斯的顶级表演。,77,8.9,876696人评价,沉默的羔羊
导演: 韦斯·安德森 Wes Anderson   主演: 拉尔夫·费因斯 Ralph Fiennes / ...,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2178872593.jpg,https://movie.douban.com/subject/11525673/, / 布达佩斯大酒店(港)  /  欢迎来到布达佩斯大饭店(台),小清新的故事里注入了大历史的情怀。,78,8.9,917234人评价,布达佩斯大饭店
